state,district,latitude,longitude
Nagaland,Kohima,25.6751,94.1086
Arunachal Pradesh,Upper Dibang Valley,28.8,95.7
Maharashtra,Nashik,19.9975,73.7898
Maharashtra,Mumbai,19.076,72.8777
Maharashtra,Pune,18.5204,73.8567
Odisha,Kendujhar,21.5892323,85.6687841
Uttarakhand,Chamoli,30.4985956,79.6190537
Haryana,Jhajjar,28.5964461,76.6505366
Gujarat,Panchmahal,22.6978099,73.5980682
Madhya Pradesh,Morena,26.3849794,77.8612721
Gujarat,Amreli,21.4176122,71.249609
Mizoram,Mamit,23.7564387,92.4515374
Tripura,West Tripura,23.9153329,91.3879341
Uttar Pradesh,Kanpur Dehat,26.4585639,79.8548052
West Bengal,West Midnapore,22.4188528,87.307174
Uttar Pradesh,Badaun,28.0649367,79.043832
Uttarakhand,Pithoragarh,29.585871,80.215167
Jharkhand,Dumka,24.2677937,87.2485495
Andhra Pradesh,East Godavari,16.9956639,81.7154378
Manipur,Senapati,25.3933697,94.1501773
Meghalaya,West Garo Hills,25.6065343,90.2038335
Uttar Pradesh,Sultanpur,26.2604732,82.2380532
Meghalaya,East Garo Hills,25.6184946,90.6342162
Rajasthan,Rajsamand,25.2892459,73.8241077
Uttar Pradesh,Bulandshahr,28.3874073,77.9743805
Chhattisgarh,Janjgir-Champa,21.986403,82.5536606
Uttar Pradesh,Unnao,26.5673264,80.6198193
Odisha,Nuapada,20.5412657,82.5292352
West Bengal,East Midnapore,22.0521107,88.0712466
Uttarakhand,Tehri Garhwal,30.4658181,78.4837349
Maharashtra,Kolhapur,16.7028412,74.2405329
Meghalaya,Jaintia Hills,25.5,92.25
Arunachal Pradesh,Tawang,27.5879186,91.863733
Arunachal Pradesh,West Kameng,27.2986936,92.4741211
Uttar Pradesh,Auraiya,26.6558215,79.5160757
Tripura,Dhalai,23.8253158,91.9732227
Madhya Pradesh,Jhabua,22.8869652,74.7243249
Assam,Dima Hasao,25.4003625,93.0752292
Rajasthan,Jhalawar,24.3132368,76.5221078
Tripura,South Tripura,23.1708278,91.638817
Jharkhand,Deoghar,24.4898318,86.6990182
West Bengal,Uttar Dinajpur,25.8721428,87.961986
Jharkhand,Dhanbad,23.7952809,86.4309638
Rajasthan,Pali,25.4552211,73.419389
Arunachal Pradesh,Papum Pare,27.2863667,93.6187716
Uttar Pradesh,Mau,26.0390905,83.4985846
Gujarat,Dang,20.7881718,73.7092033
Maharashtra,Yavatmal,20.0638677,78.3565663
Odisha,Nayagarh,20.2393682,85.050728
Uttar Pradesh,Rae Bareli,26.25,81.25
Bihar,Madhepura,25.7806118,86.9364753
Arunachal Pradesh,Changlang,27.2698797,96.0602442
Uttar Pradesh,Bareilly,28.4582345,79.4047452
Jharkhand,Garhwa,24.053577,83.6526818
Meghalaya,West Khasi Hills,25.5814429,91.0851094
Arunachal Pradesh,Lower Subansiri,27.6059753,93.8669707
Uttar Pradesh,Ballia,25.8749595,84.1210329
Maharashtra,Dhule,21.1305215,74.4900614
Manipur,Ukhrul,25.0978641,94.3610713
Uttar Pradesh,Lalitpur,24.6999688,78.51862
Meghalaya,East Khasi Hills,25.4023736,91.8317178
Meghalaya,Ri-Bhoi,25.8764026,91.8567574
Gujarat,Jamnagar,22.4732415,70.0552102
Arunachal Pradesh,East Kameng,27.557781,93.0753012
Madhya Pradesh,Neemuch,24.6305517,75.1829
Chhattisgarh,Kanker,20.2692747,81.4932111
Punjab,Patiala,30.2092778,76.3397231
Rajasthan,Sirohi,24.8114047,72.8300257
Bihar,Samastipur,25.7747885,85.8672314
Madhya Pradesh,Guna,24.5001772,77.2600959
Madhya Pradesh,Shahdol,23.3002343,81.364771
Bihar,Saharsa,25.8330757,86.6143751
West Bengal,Murshidabad,24.1745993,88.2721335
Karnataka,Mandya,12.6368939,76.7275477
Andhra Pradesh,Krishna,16.2135466,81.0277844
Andhra Pradesh,Khammam,17.0786014,81.2610665
Odisha,Kalahandi,19.8265757,83.0408702
Jharkhand,Jamtara,23.9801639,86.9243637
Karnataka,Vijayapura,16.814415,75.8933856
Gujarat,Gandhinagar,23.2232877,72.6492267
Madhya Pradesh,Rewa,24.7560846,81.3810574
Rajasthan,Dausa,26.8048659,76.4437457
West Bengal,South 24 Parganas,22.1776733,88.5307853
Maharashtra,Chandrapur,20.0967555,79.5045475
Odisha,Jagatsinghpur,20.2593872,86.1660878
Tamil Nadu,Tiruvannamalai,12.4289282,78.99915
Gujarat,Bhavnagar,21.7718836,72.1416449
Maharashtra,Raigarh,18.9818971,73.1141545
Assam,Dhemaji,27.5945155,94.7192098
Gujarat,Mahesana,23.6015557,72.3867981
Andhra Pradesh,Anantapur,14.6783221,77.6065039
Madhya Pradesh,Dhar,22.5786572,75.2258637
Assam,Karbi Anglong,26.0712781,93.4552969
Bihar,Darbhanga,26.0829899,86.0324951
Haryana,Bhiwani,28.7931703,76.1391283
Madhya Pradesh,Chhatarpur,24.7606089,79.6781776
Karnataka,Davanagere,14.2558835,75.8303421
Madhya Pradesh,Damoh,23.7981005,79.5419356
Karnataka,Uttara Kannada,14.7253795,74.6403389
Gujarat,Junagadh,21.5220416,70.4582458
Maharashtra,Nanded,19.0942729,77.4832628
Maharashtra,Satara,17.6361289,74.2982781
Rajasthan,Sri Ganganagar,29.4605539,73.5850528
Odisha,Balangir,20.6095183,83.1673029
Chhattisgarh,Korba,22.5198217,82.6350029
Odisha,Malkangiri,18.2744685,81.9520316
Maharashtra,Buldhana,20.562845,76.4086986
Madhya Pradesh,Dindori,22.9070871,80.8846924
Jammu and Kashmir,Kathua,32.3765524,75.5243044
Maharashtra,Akola,20.7618122,77.1921157
Uttar Pradesh,Deoria,26.4239911,83.7638578
Maharashtra,Ratnagiri,17.2826079,73.4569787
Rajasthan,Nagaur,26.9873443,73.7389011
Maharashtra,Wardha,20.8256231,78.6131455
Rajasthan,Bikaner,28.0159286,73.3171367
Rajasthan,Barmer,25.5814853,71.1924922
Uttar Pradesh,Sonbhadra,24.4148159,83.0637517
Odisha,Kandhamal,20.1306939,84.0790476
Uttar Pradesh,Shahjahanpur,27.9128583,79.7476254
Uttar Pradesh,Gautam Buddha Nagar,28.368716,77.5970121
Andhra Pradesh,Nalgonda,17.0504406,79.2669235
Madhya Pradesh,Ujjain,23.1885131,75.7716562
Madhya Pradesh,Panna,24.4498931,80.1462723
Uttar Pradesh,Lakhimpur Kheri,28.1834229,80.7131272
Andhra Pradesh,Srikakulam,18.2949307,83.8938844
Jharkhand,Chatra,24.1062316,84.8623379
Maharashtra,Sangli,17.1726928,74.5867654
Nagaland,Phek,25.6700924,94.3843925
Madhya Pradesh,Satna,24.6954445,80.7770348
Andhra Pradesh,Guntur,16.2915189,80.4541588
Kerala,Palakkad,10.7873692,76.4742172
Gujarat,Dahod,22.9194099,74.1342725
Madhya Pradesh,Ashoknagar,24.6186095,77.8786983
Tamil Nadu,Thanjavur,10.659037,79.2014278
Chhattisgarh,Surguja,22.9470108,83.1656868
Bihar,Saran,25.9214451,84.7759731
Karnataka,Kalaburagi,17.2408957,76.7697439
Uttar Pradesh,Ambedkar Nagar,26.4045941,82.6065154
Andhra Pradesh,Karimnagar,18.4348122,79.1328042
Rajasthan,Churu,28.2047781,74.6912996
Madhya Pradesh,Harda,22.2427973,77.1179173
Karnataka,Ballari,15.3483166,76.8054883
Karnataka,Hassan,13.0301852,76.1744968
Maharashtra,Nagpur,21.1498134,79.0820556
Maharashtra,Dharashiv,18.169844,76.1179632
Maharashtra,Gadchiroli,19.7590704,80.1622807
Bihar,Araria,26.1346459,87.4654062
Karnataka,Haveri,14.7180268,75.3656423
Andhra Pradesh,Vizianagaram,18.1141255,83.4114389
Karnataka,Dakshina Kannada,12.8226434,75.2265036
Chhattisgarh,Durg,21.1982964,81.4007922
Uttar Pradesh,Pilibhit,28.4947158,80.1076122
Assam,Dhubri,26.132275,90.1249962
Andhra Pradesh,Nellore,14.4493717,79.9873763
Tamil Nadu,Dharmapuri,12.1456131,78.1132217
Maharashtra,Nandurbar,21.5141622,74.5405513
Andhra Pradesh,Mahbubnagar,14.4110136,78.9746385
Madhya Pradesh,Sidhi,24.2112687,81.7000415
Tamil Nadu,Coimbatore,11.0018115,76.9628425
Chhattisgarh,Raj Nandgaon,22.6881652,77.2851373
Andhra Pradesh,West Godavari,16.6443029,81.5885247
Chhattisgarh,Dhamtari,20.5326259,81.7155987
Uttarakhand,Dehradun,30.3255646,78.0436813
Maharashtra,Chhatrapati Sambhajinagar,19.877263,75.3390241
Rajasthan,Chittorgarh,24.7171578,74.4718129
Andhra Pradesh,Cuddapah,14.4956602,78.8349278
Madhya Pradesh,Dewas,22.8057498,76.2940408
Madhya Pradesh,Mandla,22.6871074,80.5816341
Delhi,Delhi,28.6664535,77.2169781
Maharashtra,Solapur,17.8499067,75.2763203
Madhya Pradesh,Sehore,23.1150041,77.0665356
Rajasthan,Jalore,25.2093482,72.3178889
Odisha,Puri,19.8076083,85.8252538
Odisha,Jajpur,20.8746788,86.1215393
Madhya Pradesh,Narsinghpur,22.934556,79.0867849
Assam,Lakhimpur,27.1763356,94.1992932
Punjab,Moga,30.7877554,75.159359
Rajasthan,Sawai Madhopur,26.2290186,76.3043561
Gujarat,Bharuch,21.7080427,72.9956936
Jharkhand,Hazaribag,23.9924352,85.3616252
Rajasthan,Baran,24.9208165,76.6821985
Andhra Pradesh,Nizamabad,18.3019069,84.0237423
Punjab,Sangrur,30.135717,75.8533326
Punjab,Faridkot,30.6014507,74.7950176
West Bengal,Birbhum,24.0621532,87.6982823
Chhattisgarh,Jashpur,22.770251,83.9708013
Assam,Tinsukia,27.4879722,95.3601855
Gujarat,Kheda,22.8532503,72.9953586
Karnataka,Bangalore Rural,13.0010872,77.3361225
Odisha,Ganjam,19.6090068,84.7080633
Tamil Nadu,Dindigul,10.4257161,77.8154728
Punjab,Fatehgarh Sahib,30.6634042,76.3803
Maharashtra,Thane,19.3653598,73.3685437
Gujarat,Surendranagar,22.8251395,71.6209736
Himachal Pradesh,Chamba,32.6923316,76.1631552
Jharkhand,Simdega,22.5904573,84.5464805
Maharashtra,Latur,18.3553347,76.7548997
Odisha,Sundargarh,22.0605153,83.9359154
Madhya Pradesh,Mandsaur,24.2628148,75.385692
Assam,Kamrup,26.1468861,91.2227397
Uttar Pradesh,Moradabad,28.8796553,78.8095335
Odisha,Koraput,18.7232023,82.6100596
Maharashtra,Beed,18.9918442,75.909784
Gujarat,Sabarkantha,23.8688505,73.013784
Odisha,Cuttack,20.4686,85.8792
Chhattisgarh,Bastar,19.1191283,81.8291865
Karnataka,Belagavi,16.1587846,74.888862
Bihar,Vaishali,25.7491703,85.3972164
Madhya Pradesh,Narmadapuram,22.6002833,77.9269848
Jharkhand,Giridih,24.3314546,86.1548117
Madhya Pradesh,Betul,21.8797472,77.8753651
Maharashtra,Parbhani,19.2901981,76.6026443
Odisha,Sambalpur,21.5570606,84.1528515
Odisha,Khordha,20.0538149,85.5023308
Jharkhand,Palamu,24.2212983,84.1725565
Odisha,Subarnapur,20.8535784,83.8529159
Madhya Pradesh,Seoni,22.2748109,79.7202522
Odisha,Balasore,21.5006421,86.919884
Chhattisgarh,Bilaspur,22.1638486,82.1365923
Uttar Pradesh,Jalaun,26.1048633,79.3919136
Bihar,Supaul,26.2768089,86.7959614
Maharashtra,Washim,20.2874178,77.2369655
Odisha,Mayurbhanj,21.9156338,86.3961824
Tamil Nadu,Tiruchchirappalli,10.8067917,78.7039861
Uttar Pradesh,Bahraich,27.7343823,81.47654
Andhra Pradesh,Warangal,17.9820644,79.5970954
Odisha,Angul,21.102538,84.9536825
Madhya Pradesh,Chhindwara,22.2071897,78.798833
Madhya Pradesh,Sagar,23.8083076,78.758254
Jammu and Kashmir,Baramulla,34.2086903,74.343498
Rajasthan,Banswara,23.4915047,74.3502172
Maharashtra,Bhandara,21.1225869,79.794509
Odisha,Boudh,20.6407463,83.9969704
Tripura,North Tripura,24.0921476,92.2451214
Chhattisgarh,Raigarh,22.2361795,83.3529534
Odisha,Dhenkanal,20.8351494,85.6022305
Punjab,Firozpur,30.8753832,74.6525438
Madhya Pradesh,Ratlam,23.50222,74.9551534
Tamil Nadu,Thoothukudi,8.8457035,77.9938178
Chhattisgarh,Mahasamund,21.1922846,82.4890263
Madhya Pradesh,Raisen,23.2675909,78.1727134
Maharashtra,Hingoli,19.5431163,77.1739432
Maharashtra,Gondia,21.455228,80.1962729
Gujarat,Porbandar,21.6505229,69.6565371
Haryana,Ambala,30.3843674,76.770421
Rajasthan,Bhilwara,25.470994,74.6961316
Rajasthan,Tonk,26.1223198,75.6632235
Uttar Pradesh,Pratapgarh,25.75,81.75
Odisha,Kendrapara,20.5475164,86.5296168
Tamil Nadu,Kanchipuram,12.9647163,79.9839686
Jammu and Kashmir,Kargil,32.7045476,74.871206
Gujarat,Narmada,21.7392624,73.6262458
Arunachal Pradesh,Lohit,28.0350162,96.1713515
Madhya Pradesh,Shivpuri,25.3741215,77.8278866
Nagaland,Dimapur,25.9041378,93.7177609
Tamil Nadu,Erode,11.4905282,77.3505274
Tamil Nadu,Thiruvarur,10.6878621,79.4979437
Jharkhand,Latehar,23.6880057,84.4969551
Haryana,Faridabad,28.4031478,77.3105561
Madhya Pradesh,Burhanpur,21.334867,76.3708803
Bihar,Madhubani,26.3503076,86.2296424
Jammu and Kashmir,Jammu,32.7185614,74.8580917
Himachal Pradesh,Sirmaur,30.6991321,77.4465304
Punjab,Ludhiana,30.9090157,75.851601
Arunachal Pradesh,Tirap,27.030169,95.4979175
Karnataka,Dharwad,15.3707296,75.1332867
Karnataka,Chitradurga,14.3049174,76.5296667
Rajasthan,Jaisalmer,27.0264162,70.777512
West Bengal,Howrah,22.5736296,88.3251045
Mizoram,Lawngtlai,22.3913377,92.7397189
Uttar Pradesh,Fatehpur,25.8348023,80.9154547
Gujarat,Vadodara,22.2973142,73.1942567
Haryana,Yamuna Nagar,30.1389108,77.301064
Jammu and Kashmir,Udhampur,32.9219726,75.1331482
Mizoram,Saiha,22.2876724,93.01336
Arunachal Pradesh,West Siang,28.1970922,94.48407
Uttar Pradesh,Amroha,28.7952632,78.3436244
Jammu and Kashmir,Ladakh (Leh),34.1471474,77.571894
Mizoram,Serchhip,23.3052514,92.8455124
Uttar Pradesh,Rampur,28.7934728,79.1845806
Karnataka,Gadag,15.416692,75.6815801
Tamil Nadu,Pudukkottai,10.2903072,78.8173617
Andhra Pradesh,Chittoor,13.325036,79.6480611
Odisha,Jharsuguda,21.8019368,83.9713964
West Bengal,Purba Bardhaman,23.388517,87.9068097
Maharashtra,Jalna,19.918833,75.8708599
Uttar Pradesh,Jaunpur,25.7967065,82.4888992
Jharkhand,Koderma,24.4931239,85.5560811
Tamil Nadu,Vellore,12.9021849,79.061104
Haryana,Gurgaon,28.4646148,77.0299194
Uttarakhand,Rudraprayag,30.4915835,79.0366067
Punjab,Gurdaspur,31.9037264,75.2275587
Andhra Pradesh,Kurnool,15.8309251,78.0425373
Odisha,Bargarh,21.2319922,83.5652737
Kerala,Thrissur,10.5270099,76.214621
Assam,Goalpara,26.0491877,90.6001859
Bihar,East Champaran,26.6393261,84.8990136
Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347
Andhra Pradesh,Adilabad,19.6759452,78.5339895
Tamil Nadu,Karur,10.8217671,78.3828654
Maharashtra,Ahilyanagar,19.092952,74.7493451
Assam,Nagaon,26.3313646,92.7524763
Arunachal Pradesh,Upper Siang,28.7312046,95.0377315
Chhattisgarh,Dantewada,18.8640648,81.3833947
Gujarat,Surat,21.2094892,72.8317058
Rajasthan,Hanumangarh,29.3659533,74.298429
Madhya Pradesh,Shajapur,23.4171002,76.6074794
Karnataka,Mysuru,12.3041464,76.6529521
Himachal Pradesh,Solan,30.9077569,77.1023645
Uttar Pradesh,Etawah,26.7155629,79.0917098
Jharkhand,Bokaro,23.6991279,85.9910689
Andaman and Nicobar,Andaman Islands,13.2277144,92.9394925
Uttar Pradesh,Saharanpur,29.9856799,77.5040646
Himachal Pradesh,Kullu,31.9578974,77.1089232
Bihar,Gopalganj,26.4211166,84.3739133
Maharashtra,Jalgaon,20.8428827,75.5261246
Daman and Diu,Junagadh,21.5220416,70.4582458
Uttar Pradesh,Ghaziabad,28.7749966,77.4586967
Goa,South Goa,15.3376121,73.9937035
Bihar,Katihar,25.5586421,87.6457196
Haryana,Panchkula,30.6975401,76.8551066
Uttarakhand,Bageshwar,30.0087902,79.9280183
Jharkhand,Ranchi,23.3700501,85.3250387
Uttar Pradesh,Ayodhya,26.7990707,82.2052321
Jharkhand,Gumla,23.1603759,84.4599565
Kerala,Idukki,9.8154785,76.9991599
Kerala,Malappuram,11.1065685,76.1101742
Uttarakhand,Uttarkashi,30.9635733,78.6362521
Kerala,Ernakulam,9.9837257,76.2740001
Bihar,Kishanganj,26.2984144,87.9466715
West Bengal,Cooch Behar,26.2559197,89.4201143
Karnataka,Kolar,13.1805066,78.2669329
Karnataka,Tumakuru,13.4192512,76.8810004
Tamil Nadu,Madurai,9.9261153,78.1140983
Assam,Sivasagar,26.9834936,94.6394226
Rajasthan,Sikar,27.6624156,75.0279971
Maharashtra,Amravati,21.1545412,77.6442962
Odisha,Rayagada,19.4426698,83.5873053
Karnataka,Chikkamagaluru,13.4058699,75.638758
Karnataka,Bagalkot,16.1793224,75.6999315
Tamil Nadu,Nagapattinam,10.6026203,79.7619348
Tamil Nadu,Villupuram,11.9398285,79.4945645
Chhattisgarh,Koriya,23.476254,82.4776374
Madhya Pradesh,Khargone,21.9544729,75.7521248
Jharkhand,Saraikela Kharsawan,22.7464225,85.9168929
Uttar Pradesh,Barabanki,26.9421406,81.3856087
Bihar,Rohtas,24.9394143,84.0197031
Himachal Pradesh,Kangra,32.0768665,76.2985872
Kerala,Thiruvananthapuram,8.4882267,76.947551
Punjab,Rupnagar,31.0917102,76.5289701
Gujarat,Patan,23.773753,71.6798581
Himachal Pradesh,Kinnaur,31.593013,78.3281417
Madhya Pradesh,Barwani,21.7514248,74.8915957
Rajasthan,Dungarpur,23.8538893,73.7087177
Kerala,Kasaragod,12.4221964,75.1904446
West Bengal,Bankura,23.132377,87.2081925
Gujarat,Kachchh,23.583333,70.0
Haryana,Rohtak,28.9010899,76.5801935
Manipur,Tamenglong,24.9858596,93.5039967
Uttarakhand,Pauri Garhwal,29.8473168,78.7070479
Madhya Pradesh,Anuppur,23.0346179,81.7510255
Odisha,Gajapati,19.1966026,84.1930634
Punjab,Muktsar,30.4692,74.5182
Karnataka,Kodagu,12.3827332,75.6640715
Mizoram,Lunglei,22.9519972,92.6336207
West Bengal,Puruliya,23.333333,86.416667
Andhra Pradesh,Prakasam,15.5641955,80.0066786
Uttar Pradesh,Mirzapur,24.9316896,82.6280163
Bihar,Sitamarhi,26.5942841,85.500428
Punjab,Jalandhar,31.2922312,75.5678878
Rajasthan,Bundi,25.4367659,75.7361471
Mizoram,Kolasib,24.1905469,92.7136595
Punjab,Bathinda,30.1794814,75.0471098
Manipur,Churachandpur,24.3468839,93.6994143
Karnataka,Udupi,13.5269784,74.8731879
Karnataka,Koppal,15.5748238,76.3118494
Tamil Nadu,Sivaganga,9.8486881,78.4870461
Uttar Pradesh,Chitrakoot,25.217139,81.1045927
Odisha,Bhadrak,20.9854052,86.5934226
Manipur,Chandel,24.3312009,94.0011081
Tamil Nadu,Thiruvallur,13.2537619,80.0562572
West Bengal,Hooghly,22.9099402,88.0120825
Uttar Pradesh,Hardoi,27.3369978,80.0998232
Jharkhand,Godda,24.8645886,87.2984838
Tamil Nadu,Cuddalore,11.5202071,79.3396356
Assam,Hailakandi,24.6846916,92.5645836
Haryana,Mahendragarh,28.1326971,76.1697448
Kerala,Kollam,8.8870533,76.5906696
Bihar,Banka,24.8328273,86.8161114
Punjab,Amritsar,31.6356659,74.8787496
Uttar Pradesh,Gonda,27.1103723,81.9238906
Uttar Pradesh,Etah,27.5550357,78.5992221
Karnataka,Bidar,18.0207297,77.2487204
Madhya Pradesh,Umaria,23.6431837,80.9419078
Karnataka,Raichur,16.0547194,76.9003647
Bihar,Jamui,24.7562514,86.3011128
Karnataka,Chamarajanagar,11.9544201,77.1069086
Nagaland,Tuensang,26.2342107,94.741553
Assam,Golaghat,26.5108262,93.9743686
Bihar,Nawada,24.8173249,85.5179085
Nagaland,Zunheboto,26.0123803,94.5123719
Assam,Jorhat,26.7577925,94.2079645
Kerala,Wayanad,11.7151291,76.1271185
Jharkhand,Pakur,24.5325908,87.593232
Bihar,Kaimur,24.975466,83.5768379
Andhra Pradesh,Medak,17.9375095,78.211745
West Bengal,Jalpaiguri,26.6262805,88.7334485
Bihar,Chhatrapati Sambhajinagar,19.877263,75.3390241
Karnataka,Bangalore Urban,13.0,77.583333
Maharashtra,Sindhudurg,16.1357193,73.6522086
Karnataka,Shivamogga,13.9326093,75.574978
Tamil Nadu,Salem,11.6469616,78.2106958
Rajasthan,Jhunjhunu,28.0798944,75.5424211
Himachal Pradesh,Shimla,31.1040393,77.1707923
Uttar Pradesh,Sitapur,27.5026748,80.8335139
Jammu and Kashmir,Doda,33.1341373,75.587915
Kerala,Kannur,11.8763836,75.3737973
Punjab,Hoshiarpur,31.6092942,75.8459754
Arunachal Pradesh,Upper Subansiri,28.2596054,94.0938106
Gujarat,Banaskantha,24.2693869,72.5367513
Odisha,Debagarh,21.4477962,84.7174204
Madhya Pradesh,Vidisha,23.8463004,77.8370209
Andaman and Nicobar,Nicobar Islands,7.0000167,93.8110528
Uttar Pradesh,Sant Kabir Nagar,26.755082,83.0398545
Uttar Pradesh,Banda,25.4438537,80.5595237
West Bengal,Malda,25.0057449,88.1398483
Uttar Pradesh,Jhansi,25.529855,78.6527802
Assam,Barpeta,26.345941,91.039708
Odisha,Nabarangpur,19.228896,82.5665715
Uttar Pradesh,Basti,26.8387083,82.5350919
Uttar Pradesh,Maharajganj,26.4710847,81.1807046
Arunachal Pradesh,Lower Dibang Valley,28.2149563,95.878774
Assam,Cachar,24.75864,92.8816648
Madhya Pradesh,Rajgarh,23.8716707,76.7744703
Uttar Pradesh,Bijnor,29.4074203,78.4821406
Jammu and Kashmir,Anantnag,33.74611,75.1854475
Haryana,Sirsa,29.6063041,74.9036568
Madhya Pradesh,Khandwa,21.9769779,76.5675344
Uttarakhand,Almora,29.702651,79.4326318
Haryana,Hisar,29.2396596,75.8174505
Uttar Pradesh,Meerut,29.0018557,77.7679671
Jammu and Kashmir,Rajouri,33.3772495,74.3132332
Kerala,Alappuzha,9.5003416,76.4123364
Bihar,Sheohar,26.4934234,85.2717561
Gujarat,Valsad,20.4321957,73.1409893
Assam,Sonitpur,26.7677707,92.7014089
Madhya Pradesh,Sheopur,25.7499267,76.9212945
Assam,Darrang,26.4373481,92.0047145
Haryana,Kurukshetra,29.9693747,76.8482787
Puducherry,Karaikal,10.91571,79.8375761
Manipur,East Imphal,24.8066181,93.9346851
Uttar Pradesh,Balrampur,27.4476988,82.3956245
Uttar Pradesh,Shravasti,27.5083429,82.0263569
Uttar Pradesh,Baghpat,29.0374779,77.3062737
Kerala,Pathanamthitta,9.2780841,76.9737443
Tamil Nadu,Namakkal,11.3033889,78.118604
Tamil Nadu,The Nilgiris,11.4,76.7
Tamil Nadu,Ramanathapuram,9.5205576,78.5184635
Kerala,Kozhikode,11.2450558,75.7754716
Puducherry,Mahe,11.7021978,75.5364701
Uttar Pradesh,Chandauli,25.125695,83.2494601
Uttar Pradesh,Siddharthnagar,27.2511724,82.8716528
Himachal Pradesh,Mandi,31.6516617,77.0092542
Uttar Pradesh,Mathura,27.4955539,77.6855554
Assam,Sribhumi,23.40797,88.3628813
Uttar Pradesh,Aligarh,27.8761073,78.1358153
Nagaland,Mon,26.666667,95.0
Uttarakhand,Haridwar,29.9384473,78.1452985
Tamil Nadu,Kanyakumari,8.079252,77.5499338
Bihar,West Champaran,27.0518367,84.3351209
Nagaland,Wokha,26.242251,94.1921153
Punjab,Kapurthala,31.3856476,75.3053304
Uttarakhand,Nainital,29.294995,79.4162511
Punjab,Mansa,29.8764133,75.4889564
Haryana,Karnal,29.7255766,76.9106924
Arunachal Pradesh,East Siang,28.0742219,95.4178149
Uttar Pradesh,Farrukhabad,27.4362003,79.4894778
Haryana,Kaithal,29.7996588,76.3989903
Uttar Pradesh,Kannauj,26.9986675,79.6927946
Uttar Pradesh,Mainpuri,27.2093072,79.0625369
Uttar Pradesh,Muzaffarnagar,29.4496979,77.7429333
Madhya Pradesh,Katni,23.7176393,80.2610181
Assam,Bongaigaon,26.4800126,90.5580387
Himachal Pradesh,Una,31.5834642,76.2351452
Himachal Pradesh,Hamirpur,31.6539866,76.5403633
Assam,Kokrajhar,26.4912104,90.1215209
Assam,Morigaon,26.2545556,92.3572669
Jammu and Kashmir,Pulwama,33.9490472,75.0418335
Jammu and Kashmir,Poonch,33.7670004,74.0957143
Uttar Pradesh,Mahoba,25.3615938,79.706011
Uttar Pradesh,Kushinagar,26.7438272,83.9162322
Himachal Pradesh,Bilaspur,31.3380959,76.7611631
Uttar Pradesh,Firozabad,27.1941954,78.4604956
Haryana,Sonepat,28.99197,77.0342633
Bihar,Munger,25.2202864,86.5161484
Uttar Pradesh,Ghazipur,25.6034863,83.5075888
Tamil Nadu,Theni,9.8692558,77.4222974
Manipur,West Imphal,24.8049259,93.9348265
Manipur,Bishnupur,24.6267287,93.7600454
Chandigarh,Chandigarh,30.7334421,76.7797143
Bihar,Sheikhpura,25.1250741,85.8160771
Manipur,Thoubal,24.6386954,93.996871
Nagaland,Mokokchung,26.4795861,94.5105275
Bihar,Nalanda,25.1364914,85.4436546
Uttarakhand,Udham Singh Nagar,29.0478314,79.4326164
